PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10000,19860106,,,,,,,,,,,,,,7952,10396,3,3990,68391610,,,,,,,,,39,399,,,,,,,,,,,4,1,0,1,,,,,,,,,,,,,,-0.000138,-0.000525,0.001926,0.001783,-0.001091
10000,19860107,19861203,10,3,3990,68391610,OMFGA,OPTIMUM MANUFACTURING INC,A,OMFGA,,Q,A,R,7952,10396,3,3990,68391610,,,,,,,,2,39,399,,,,,,,,,,,1,1,9,2,2.37500,2.75000,-2.56250,1000,C,,,3680,1,1,,,C,0.013809,0.013800,0.011061,0.011046,0.014954
10000,19860108,,10,3,3990,68391610,OMFGA,OPTIMUM MANUFACTURING INC,A,OMFGA,,Q,A,R,7952,10396,3,3990,68391610,,,,,,,,,39,399,,,,,,,,,,,,,,,2.37500,2.62500,-2.50000,12800,-0.024390,,,3680,1,1,,,-0.024390,-0.020744,-0.020750,-0.005117,-0.005135,-0.027268
10000,19860109,,10,3,3990,68391610,OMFGA,OPTIMUM MANUFACTURING INC,A,OMFGA,,Q,A,R,7952,10396,3,3990,68391610,,,,,,,,,39,399,,,,,,,,,,,,,,,2.37500,2.62500,-2.50000,1400,0.000000,,,3680,1,1,,,0.000000,-0.011219,-0.011315,-0.011588,-0.011659,-0.008944
10000,19860110,,10,3,3990,68391610,OMFGA,OPTIMUM MANUFACTURING INC,A,OMFGA,,Q,A,R,7952,10396,3,3990,68391610,,,,,,,,2,39,399,,,,,,,,,,,1,1,10,2,2.37500,2.62500,-2.50000,8500,0.000000,,,3680,1,1,,,0.000000,0.000083,0.000047,0.003651,0.003632,-0.000728
10000,19860113,,10,3,3990,68391610,OMFGA,OPTIMUM MANUFACTURING INC,A,OMFGA,,Q,A,R,7952,10396,3,3990,68391610,,,,,,,,,39,399,,,,,,,,,,,,,,,2.50000,2.75000,-2.62500,5450,0.050000,,,3680,1,1,,,0.050000,0.002749,0.002679,0.002433,0.002369,0.003690
10000,19860114,,10,3,3990,68391610,OMFGA,OPTIMUM MANUFACTURING INC,A,OMFGA,,Q,A,R,7952,10396,3,3990,68391610,,,,,,,,,39,399,,,,,,,,,,,,,,,2.62500,2.87500,-2.75000,2075,0.047619,,,3680,1,1,,,0.047619,0.000366,0.000313,0.004474,0.004439,-0.000387
10000,19860115,,10,3,3990,68391610,OMFGA,OPTIMUM MANUFACTURING INC,A,OMFGA,,Q,A,R,7952,10396,3,3990,68391610,,,,,,,,,39,399,,,,,,,,,,,,,,,2.75000,3.00000,-2.87500,22490,0.045455,,,3680,1,1,,,0.045455,0.008206,0.008203,0.007693,0.007683,0.007840
10000,19860116,,10,3,3990,68391610,OMFGA,OPTIMUM MANUFACTURING INC,A,OMFGA,,Q,A,R,7952,10396,3,3990,68391610,,,,,,,,,39,399,,,,,,,,,,,,,,,2.87500,3.12500,-3.00000,10900,0.043478,,,3680,1,1,,,0.043478,0.004702,0.004655,0.005670,0.005653,0.004370
10000,19860117,,10,3,3990,68391610,OMFGA,OPTIMUM MANUFACTURING INC,A,OMFGA,,Q,A,R,7952,10396,3,3990,68391610,,,,,,,,,39,399,,,,,,,,,,,,,,,2.87500,3.12500,-3.00000,8470,0.000000,,,3680,1,1,,,0.000000,-0.001741,-0.001924,0.003297,0.003222,-0.003538
